date	close
31-Jan-14	20
28-Jan-14	14
27-Jan-14	18
26-Jan-14	19
25-Jan-14	18
24-Jan-14	17
21-Jan-14	18
20-Jan-14	19
19-Jan-14	20
18-Jan-14	21
14-Jan-14	22
13-Jan-14	25
12-Jan-14	26
11-Jan-14	25
10-Jan-14	27
7-Jan-14	25
6-Jan-14	22
5-Jan-14	26
4-Jan-14	27
3-Jan-14	28
31-Dec-13	29
30-Dec-13	30
29-Dec-13	26
28-Dec-13	26
27-Dec-13	27
23-Dec-13	28
22-Dec-13	29
21-Dec-13	20
20-Dec-13	21
17-Dec-13	22
16-Dec-13	23
15-Dec-13	25
14-Dec-13	23
13-Dec-13	24
9-Dec-13	25
8-Dec-13	26
7-Dec-13	26.09
6-Dec-13	27.95
5-Dec-13	26.01
2-Dec-13	27.70
1-Dec-13	28.93
30-Nov-13	28.20
29-Nov-13	29.20
28-Nov-13	26.12
25-Nov-13	27.57
23-Nov-13	26.99
22-Nov-13	27.51
21-Nov-13	28.01
18-Nov-13	27.94
17-Nov-13	28.41
16-Nov-13	26.77
15-Nov-13	26.83
14-Nov-13	27.26
11-Nov-13	27.62
10-Nov-13	27.22
9-Nov-13	26.28
8-Nov-13	25.23
7-Nov-13	26.73
4-Nov-13	25.24
3-Nov-13	24.07
2-Nov-13	24.45
1-Nov-13	23.51
31-Oct-13	24.78
28-Oct-13	25.95
27-Oct-13	26.69
26-Oct-13	27.60
25-Oct-13	25.77
24-Oct-13	26.77
21-Oct-13	25.87
20-Oct-13	24.31
19-Oct-13	26.62
18-Oct-13	25.24
17-Oct-13	27.99
14-Oct-13	28.00
13-Oct-13	29.43
12-Oct-13	28.19
11-Oct-13	28.29
10-Oct-13	27.81
7-Oct-13	28.80
6-Oct-13	27.37
5-Oct-13	26.25
4-Oct-13	26.50
3-Oct-13	26.60
