date	close
31-Jan-14	60
28-Jan-14	65
27-Jan-14	64
26-Jan-14	63
25-Jan-14	64
24-Jan-14	59
21-Jan-14	58
20-Jan-14	59
19-Jan-14	60
18-Jan-14	61
14-Jan-14	58
13-Jan-14	59
12-Jan-14	60
11-Jan-14	61
10-Jan-14	59
7-Jan-14	59
6-Jan-14	59
5-Jan-14	59
4-Jan-14	60
3-Jan-14	61
31-Dec-13	58
30-Dec-13	59
29-Dec-13	57
28-Dec-13	58
27-Dec-13	57
23-Dec-13	55
22-Dec-13	54
21-Dec-13	55
20-Dec-13	53
17-Dec-13	52
16-Dec-13	51
15-Dec-13	52
14-Dec-13	59
13-Dec-13	58
9-Dec-13	60
8-Dec-13	61
7-Dec-13	60.09
6-Dec-13	61.95
5-Dec-13	58.01
2-Dec-13	59.70
1-Dec-13	60.93
30-Nov-13	61.20
29-Nov-13	62.20
28-Nov-13	63.12
25-Nov-13	59.57
23-Nov-13	58.99
22-Nov-13	57.51
21-Nov-13	57.01
18-Nov-13	56.94
17-Nov-13	59.41
16-Nov-13	59.77
15-Nov-13	59.83
14-Nov-13	60.26
11-Nov-13	61.62
10-Nov-13	62.22
9-Nov-13    58.28
8-Nov-13	59.23
7-Nov-13	60.73
4-Nov-13	55.24
3-Nov-13	56.07
2-Nov-13	57.45
1-Nov-13	56.51
31-Oct-13	55.78
28-Oct-13	58.95
27-Oct-13	59.69
26-Oct-13	60.60
25-Oct-13	61.77
24-Oct-13	60.77
21-Oct-13	59.87
20-Oct-13	58.31
19-Oct-13	59.62
18-Oct-13	57.24
17-Oct-13	58.99
14-Oct-13	57.00
13-Oct-13	56.43
12-Oct-13	57.19
11-Oct-13	58.29
10-Oct-13	59.81
7-Oct-13	60.80
6-Oct-13	57.37
5-Oct-13	56.25
4-Oct-13	58.50
3-Oct-13	58.60
