date	close
31-Jan-14	23
28-Jan-14	24
27-Jan-14	25
26-Jan-14	24
25-Jan-14	25
24-Jan-14	26
21-Jan-14	25
20-Jan-14	25
19-Jan-14	30
18-Jan-14	32
14-Jan-14	31
13-Jan-14	30
12-Jan-14	29
11-Jan-14	28
10-Jan-14	28
7-Jan-14	27
6-Jan-14	28
5-Jan-14	30
4-Jan-14	31
3-Jan-14	30
31-Dec-13	29
30-Dec-13	30
29-Dec-13	28
28-Dec-13	29
27-Dec-13	30
23-Dec-13	31
22-Dec-13	32
21-Dec-13	30
20-Dec-13	29
17-Dec-13	30
16-Dec-13	28
15-Dec-13	27
14-Dec-13	26
13-Dec-13	27
9-Dec-13	25
8-Dec-13	24
7-Dec-13	25.09
6-Dec-13	30.95
5-Dec-13	31.01
2-Dec-13	31.70
1-Dec-13	32.93
30-Nov-13	34.20
29-Nov-13	31.20
28-Nov-13	31.12
25-Nov-13	32.57
23-Nov-13	29.99
22-Nov-13	29.51
21-Nov-13	28.01
18-Nov-13	30.94
17-Nov-13	29.41
16-Nov-13	29.77
15-Nov-13	30.83
14-Nov-13	31.26
11-Nov-13	30.62
10-Nov-13	29.22
9-Nov-13    28.28
8-Nov-13	27.23
7-Nov-13	29.73
4-Nov-13	30.24
3-Nov-13	31.07
2-Nov-13	31.45
1-Nov-13	32.51
31-Oct-13	32.78
28-Oct-13	33.95
27-Oct-13	31.69
26-Oct-13	30.60
25-Oct-13	31.77
24-Oct-13	32.77
21-Oct-13	33.87
20-Oct-13	32.31
19-Oct-13	29.62
18-Oct-13	28.24
17-Oct-13	27.99
14-Oct-13	26.00
13-Oct-13	27.43
12-Oct-13	25.19
11-Oct-13	28.29
10-Oct-13	30.81
7-Oct-13	29.80
6-Oct-13	30.37
5-Oct-13	31.25
4-Oct-13	27.50
3-Oct-13	28.60
