date	close
31-Jan-14	32
28-Jan-14	30
27-Jan-14	31
26-Jan-14	30
25-Jan-14	29
24-Jan-14	30
21-Jan-14	31
20-Jan-14	33
19-Jan-14	30
18-Jan-14	30
14-Jan-14	30
13-Jan-14	29
12-Jan-14	30
11-Jan-14	31
10-Jan-14	30
7-Jan-14	31
6-Jan-14	30
5-Jan-14	30
4-Jan-14	29
3-Jan-14	30
31-Dec-13	15
30-Dec-13	5
29-Dec-13	7
28-Dec-13	15
27-Dec-13	30
23-Dec-13	31
22-Dec-13	30
21-Dec-13	31
20-Dec-13	32
17-Dec-13	30
16-Dec-13	31
15-Dec-13	32
14-Dec-13	30
13-Dec-13	32
9-Dec-13	33
8-Dec-13	34
7-Dec-13	35.09
6-Dec-13	35.95
5-Dec-13	36.01
2-Dec-13	36.70
1-Dec-13	36.93
30-Nov-13	37.20
29-Nov-13	38.20
28-Nov-13	39.12
25-Nov-13	40.57
23-Nov-13	41.99
22-Nov-13	42.51
21-Nov-13	41.01
18-Nov-13	40.94
17-Nov-13	39.41
16-Nov-13	39.77
15-Nov-13	37.83
14-Nov-13	36.26
11-Nov-13	37.62
10-Nov-13	35.22
9-Nov-13	35.28
8-Nov-13	35.23
7-Nov-13	33.73
4-Nov-13	32.24
3-Nov-13	30.07
2-Nov-13	31.45
1-Nov-13	30.51
31-Oct-13	31.78
28-Oct-13	30.95
27-Oct-13	29.69
26-Oct-13	29.60
25-Oct-13	30.77
24-Oct-13	31.77
21-Oct-13	32.87
20-Oct-13	33.31
19-Oct-13	34.62
18-Oct-13	33.24
17-Oct-13	32.99
14-Oct-13	31.00
13-Oct-13	30.43
12-Oct-13	31.19
11-Oct-13	31.29
10-Oct-13	32.81
7-Oct-13	33.80
6-Oct-13	34.37
5-Oct-13	35.25
4-Oct-13	33.50
3-Oct-13	31.60
