date	close
31-Jan-14	8
28-Jan-14	6
27-Jan-14	6
26-Jan-14	6
25-Jan-14	7
24-Jan-14	6
21-Jan-14	7
20-Jan-14	5
19-Jan-14	5
18-Jan-14	6
14-Jan-14	8
13-Jan-14	5
12-Jan-14	6
11-Jan-14	7
10-Jan-14	8
7-Jan-14	9
6-Jan-14	9
5-Jan-14	9
4-Jan-14	6
3-Jan-14	7
31-Dec-13	9
30-Dec-13	10
29-Dec-13	12
28-Dec-13	13
27-Dec-13	14
23-Dec-13	14
22-Dec-13	14
21-Dec-13	15
20-Dec-13	13
17-Dec-13	12
16-Dec-13	12
15-Dec-13	12
14-Dec-13	11
13-Dec-13	11
9-Dec-13	10
8-Dec-13	9
7-Dec-13	8.09
6-Dec-13	9.95
5-Dec-13	8.01
2-Dec-13	10.70
1-Dec-13	11.93
30-Nov-13	11.20
29-Nov-13	12.20
28-Nov-13	12.12
25-Nov-13	13.57
23-Nov-13	14.99
22-Nov-13	15.51
21-Nov-13	15.01
18-Nov-13	14.94
17-Nov-13	13.41
16-Nov-13	12.77
15-Nov-13	11.83
14-Nov-13	10.26
11-Nov-13	10.62
10-Nov-13	9.22
9-Nov-13	8.28
8-Nov-13	10.23
7-Nov-13	11.73
4-Nov-13	12.24
3-Nov-13	11.07
2-Nov-13	12.45
1-Nov-13	13.51
31-Oct-13	13.78
28-Oct-13	12.95
27-Oct-13	11.69
26-Oct-13	12.60
25-Oct-13	12.77
24-Oct-13	14.77
21-Oct-13	15.87
20-Oct-13	15.31
19-Oct-13	15.62
18-Oct-13	16.24
17-Oct-13	17.99
14-Oct-13	17.00
13-Oct-13	18.43
12-Oct-13	17.19
11-Oct-13	16.29
10-Oct-13	15.81
7-Oct-13	16.80
6-Oct-13	14.37
5-Oct-13	13.25
4-Oct-13	12.50
3-Oct-13	11.60
